OBJECTID,Join_Count,TARGET_FID,JOIN_FID,COUNT_,SUM_Acres_Restored,CODE,Project_Number,Project_Name,Treatment_ID,Year_Start,Year_End,COMPLETION_DATE,longitude,latitude,State,County,Database_,Site_Name,Refuge_Name,FS_UNIT_NAME,Acres_Restored,Activity,Management_Type,Subcategory,Treatment,Project_Description,Landowner_type,Lead_Organization,Federal_Project_Partner,non_federal_partners,PARTNER_NAME,Species_mentioned,Plant_species,AFFECTED_Z,Notes,DFP_Notes,Shape__Area,Shape__Length
1171,1,425,1621,4,2.07,PADUS1006,,,,2010,,,-123.92389252,45.16276325,OR,,PADUS,Nestucca Bay National Wildlife Refuge,,,0,Conservation,Easement,GAP Status- 2,,,PVT,U.S. Fish and Wildlife Service,,,,,,,Digitized from legal descs provided by GOCO - GOCO_post_v7.mdb,lat/long is centroid of county,0.0048353928641518,0.264693251552306
1172,1,425,7971,4,2.07,ORWRI162,19494,WY H15-09 Lower Little Nestucca River Knotweed Treatment 2015-16,,2015,2016,,-123.90939514,45.14848025,OR,Tillamook,ORWRI,Lower Little Nestucca River,,,2.07,Maintenance,Riparian,Riparian invasive plant control,Herbicide application,Riparian treated for non-native or noxious plant species,,Private Landowner,,Private Landowner,,,,,,lat/long is centroid of county,0.0048353928641518,0.264693251552306
1173,1,426,7718,1,60,LTDL40,8769,Pine_Creek_Prescribed_Burn_2015,23935,2015,,,-115.47682997,36.122895005,NV,Clark,LTDL,,,,60,Maintenance,Prescribed Burn,Prescribed Burn,Prescribed Burn: Pile Burn,"Resource Objectives:\r\nLimit mortality of live ponderosa pine to <5%\r\nReduce hazard fuels accumulation, as well as reducing fire hazard to ponderosa pine stand.\r\nMinimize impacts to adjacent resources including desert tortoise habitat and the wildern",Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00423000530054196,0.24447094042434
1174,1,427,8991,1,7,FS2179,,,,2021,2021,,-121.8409025,45.6835477121,OR,Hood River,FS,0622 Herman Creek CG Salvage FY20,,COLUMBIA RIVER GORGE NATIONAL SCENIC AREA,7,Restoration,Veg Mgmt,Planting,,0622 Herman Ck CG Salvage Planting,,Forest Service,Forest Service,,,,,,,lat/long is centroid of county,0.00488177571878623,0.266212918632046
1175,1,428,993,2,133,PADUS378,,,,2017,,,-116.87407817,34.25225684,CA,,PADUS,Castle Glen Preserve Site Easement,,,122,Conservation,Easement,GAP Status- 2,,,PVT,The Nature Conservancy,,,,,,,,lat/long is centroid of county,0.00413372225625608,0.241152053895553
1176,1,428,3269,2,133,FS2321,,,,2021,2021,,-116.868216214,34.2349083216,CA,San Bernardino,FS,SBB RX BACK OF YARDS CB-11AC,,SAN BERNARDINO NATIONAL FOREST,11,Maintenance,Fuels,Prescribed Fire,,0512-SBB RX BACK OF YARDS CB-11AC,,Forest Service,Forest Service,,,,,,,lat/long is centroid of county,0.00413372225625608,0.241152053895553
1177,1,429,6508,9,40,FS175,,,,,2015,7/8/2015,-121.9982761,44.26755664,OR,Linn,FS,1801-7001262 Kafka adj,,WILLAMETTE NATIONAL FOREST,10,Restoration,Meadow,Meadow Restoration,2015 7001262 Kafka adj Opening,Cooperative Work Knutson-Vandenberg Fund,,,,,,Pollinator,,2015 1801-7001262 Kafka adj AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1178,1,429,6800,9,40,FS474,,,,,2018,9/30/2018,-121.988906,44.29561407,OR,Linn,FS,061801 7008872 Robinson 1,,WILLAMETTE NATIONAL FOREST,4.3636,Restoration,Meadow,Meadow Restoration,R060105 Bridge 99 Plant FY18,Reimbursables - NFS - External (non-Federal),,,,,Rocky Mountain Elk Foundation,Pollinator,,061801 7008872 Robinson 1 MR 2018 HAB AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1179,1,429,6801,9,40,FS475,,,,,2018,9/30/2018,-121.988906,44.29561407,OR,Linn,FS,061801 7008872 Robinson 1,,WILLAMETTE NATIONAL FOREST,1.6364,Restoration,Meadow,Meadow Restoration,R060101 IntegratedPlanting NonCFLR,Payments to States/Title-2,,,,,,Pollinator,,061801 7008872 Robinson 1 MR 2018 HAB AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1180,1,429,6905,9,40,FS584,,,,,2016,8/5/2016,-121.9891236,44.29356817,OR,Linn,FS,061801 7008438 Robinson 2,,WILLAMETTE NATIONAL FOREST,6,Restoration,Meadow,Meadow Restoration,R060101 NewberryMeadowEnhancement,Reimbursables - NFS - External (non-Federal),,,,,Rocky Mountain Elk Foundation,Pollinator,,061801 7008438 Robinson 2 MR 2016 Hab AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1181,1,429,6955,9,40,FS634,,,,,2016,8/5/2016,-121.988906,44.29561407,OR,Linn,FS,061801 7008872 Robinson 1,,WILLAMETTE NATIONAL FOREST,6,Restoration,Meadow,Meadow Restoration,061208 2019 Lily Lake Meadow 2 Mow,Reimbursables - NFS - External (non-Federal),,,,,Rocky Mountain Elk Foundation,Pollinator,,061801 7008872 Robinson 1 MR 2016 Hab AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1182,1,429,6996,9,40,FS678,,,,,2018,9/30/2018,-121.9891236,44.29356817,OR,Linn,FS,061801 7008438 Robinson 2,,WILLAMETTE NATIONAL FOREST,4.3636,Restoration,Meadow,Meadow Restoration,060105 Milli Plant Fall 2019,Reimbursables - NFS - External (non-Federal),,,,,Rocky Mountain Elk Foundation,Pollinator,,061801 7008438 Robinson 2 MR 2018 HAB AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1183,1,429,6997,9,40,FS679,,,,,2018,9/30/2018,-121.9891236,44.29356817,OR,Linn,FS,061801 7008438 Robinson 2,,WILLAMETTE NATIONAL FOREST,1.6364,Restoration,Meadow,Meadow Restoration,R060105 Milli Fire Planting 474 ac,Payments to States/Title-2,,,,,,Pollinator,,061801 7008438 Robinson 2 MR 2018 HAB AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1184,1,429,8781,9,40,FS754,,,,,2015,10/28/2015,-121.9975788,44.26706726,OR,Linn,FS,061801 7001262 Kafka 2 Gap,,WILLAMETTE NATIONAL FOREST,3,Enhancement,Veg Mgmt,Planting,061801 7001262 Kafka 2 gap FE 2016,Cooperative Work Knutson-Vandenberg Fund,,,,,,Pollinator,,061801 Kafka 2 Gaps FE 2016 Hab AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1185,1,429,9141,9,40,FS4,,,,,2017,6/20/2017,-122.0108451,44.2691805,OR,Linn,FS,061801 7001266 Kafka 3 Gap,,WILLAMETTE NATIONAL FOREST,3,Enhancement,Wildlife,Maintain Openings,Prescribed burn- Rooster,Cooperative Work Knutson-Vandenberg Fund,,,,,,Pollinator,,0618 7001266 Kafka 3 Gap Opening HAB AZ,,Lat/long is centroid of polygon,0.00476292510029452,0.262354671353371
1186,1,430,3991,1,35,LTDL119,19866,Rocky Fire J0ED Rehabilitation 2015,49262,2016,,,-122.450683202,38.93875502,CA,Lake,LTDL,,,,35,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control - Manual,"""Produce and/or maintain a mosaic of compositionally and structurally diverse habitat types\r\nand plant communities."" (RMP 2006. Sec. 2.5)\r\n""Prevent the spread of noxious weeds."" (RMP 2006. Sec. 2.5)\r\n""Ensure that native wildlife and fish species are",Federal,BLM,BLM,,,,,,"R5 planned future treatment costs - $8,100.",lat/long is centroid of county,0.0043905812799494,0.249934559595091
1187,1,431,130,28,26,RAPP2886,,,,2019,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,4,Conservation,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1188,1,431,212,28,26,RAPP528,,,,2020,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1189,1,431,213,28,26,RAPP535,,,,2017,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1190,1,431,214,28,26,RAPP540,,,,2017,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1191,1,431,215,28,26,RAPP605,,,,2016,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1192,1,431,216,28,26,RAPP608,,,,2016,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1193,1,431,217,28,26,RAPP708,,,,2017,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Monarch habitat enhanced,,,,,,,,Monarch,,,,,0.00491700051543376,0.267379079125046
1194,1,431,218,28,26,RAPP709,,,,2017,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Monarch habitat enhanced,,,,,,,,Monarch,,,,,0.00491700051543376,0.267379079125046
1195,1,431,219,28,26,RAPP761,,,,2016,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Monarch habitat enhanced,,,,,,,,Monarch,,,,,0.00491700051543376,0.267379079125046
1196,1,431,220,28,26,RAPP762,,,,2016,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Monarch habitat enhanced,,,,,,,,Monarch,,,,,0.00491700051543376,0.267379079125046
1197,1,431,221,28,26,RAPP523,,,,2020,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,1,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1198,1,431,315,28,26,RAPP2890,,,,2018,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,4,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1199,1,431,316,28,26,RAPP2885,,,,2019,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,4,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1200,1,431,349,28,26,RAPP2889,,,,2018,,,-118.9554855,46.11901227,WA,Walla Walla,RAPP,,MCNARY NATIONAL WILDLIFE REFUGE,,4,Enhancement,,Pollinator habitat enhanced,,,,,,,,Pollinator,,,,,0.00491700051543376,0.267379079125046
1201,1,431,7162,28,26,RAPP4575,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Conservation,Pollinator Habitat,Pollinator habitat acquired,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1202,1,431,7163,28,26,RAPP4580,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Conservation,Pollinator Habitat,Monarch habitat acquired,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1203,1,431,7164,28,26,RAPP4582,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Conservation,Pollinator Habitat,Pollinator habitat acquired,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1204,1,431,7165,28,26,RAPP4587,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Conservation,Pollinator Habitat,Monarch habitat acquired,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1205,1,431,7402,28,26,RAPP4576,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Enhancement,Pollinator Habitat,Pollinator/monarch  gardens,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1206,1,431,7403,28,26,RAPP4577,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Enhancement,Pollinator Habitat,Pollinator habitat enhanced,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1207,1,431,7404,28,26,RAPP4579,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Enhancement,Pollinator Habitat,Monarch habitat enhanced,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1208,1,431,7405,28,26,RAPP4583,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Enhancement,Pollinator Habitat,Pollinator/monarch  gardens,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1209,1,431,7406,28,26,RAPP4584,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Enhancement,Pollinator Habitat,Pollinator habitat enhanced,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1210,1,431,7407,28,26,RAPP4586,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Enhancement,Pollinator Habitat,Monarch habitat enhanced,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1211,1,431,7632,28,26,RAPP4574,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Restoration,Pollinator Habitat,Pollinator habitat restored,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1212,1,431,7633,28,26,RAPP4578,,,,2021,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Restoration,Pollinator Habitat,Monarch habitat restored,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1213,1,431,7634,28,26,RAPP4581,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Restoration,Pollinator Habitat,Pollinator habitat restored,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1214,1,431,7635,28,26,RAPP4585,,,,2022,,,-118.95551859,46.11918114,WA,,RAPP,Mcnary National Wildlife Refuge,Mcnary National Wildlife Refuge,,,Restoration,Pollinator Habitat,Monarch habitat restored,,,,,,,,,,,,,0.00491700051543376,0.267379079125046
1215,1,432,4018,3,,LTDL168,18114,Faust Wildfire JVK0 Emergency Stabilization and Rehabilitation 2015,51068,2016,,,-112.444637031,40.1964053880001,UT,Tooele,LTDL,,,,,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,Minimize noxious weeds \u2013 Achieve less than 10 noxious weeds per acre.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00446679659535221,0.252566403694509
1216,1,432,4019,3,,LTDL169,18114,Faust Wildfire JVK0 Emergency Stabilization and Rehabilitation 2015,51069,2017,,,-112.444637031,40.1964053880001,UT,Tooele,LTDL,,,,,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,Minimize noxious weeds \u2013 Achieve less than 10 noxious weeds per acre.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00446679659535221,0.252566403694509
1217,1,432,4020,3,,LTDL170,18114,Faust Wildfire JVK0 Emergency Stabilization and Rehabilitation 2015,51070,2018,,,-112.444637031,40.1964053880001,UT,Tooele,LTDL,,,,,Restoration,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Control,Minimize noxious weeds \u2013 Achieve less than 10 noxious weeds per acre.,Federal,BLM,BLM,,,,,,,lat/long is centroid of county,0.00446679659535221,0.252566403694509
1218,1,433,485,1,0.39,XS27,,,,2019,2019,,-121.8230728,36.61452813,CA,Monterey,XS,,,,0.39,Enhancement,,Planting,,"Xerces habitat kit, garden",,Xerces Society,,,,Pollinator,,,,,0.0042552463633001,0.245319144243089
1219,1,434,2948,1,304,PADUS2333,,,,2020,,,-124.31950343,40.6230498,CA,,PADUS,"Agricultural Conservation Easement Program - Wetland Reserve Easements (ACEP-WRE), Humboldt, California",,,304,Conservation,Easement,GAP Status- 2,,,PVT,Admin State CA,,,,,,,GENERAL PLANNING ONLY-not a legal representation of the easement boundary.,lat/long is centroid of county,0.00449655039437857,0.25350493176947
1220,1,435,3251,1,3328,FS2281,,,,2021,2021,,-109.764152111,34.135010585,AZ,Apache,FS,030107LosBurrosRXFY21,,APACHE-SITGREAVES NATIONAL FOREST,3328,Maintenance,Fuels,Prescribed Fire,,030107LosBurrosRXFY21,,Forest Service,Forest Service,,,,,,,lat/long is centroid of county,0.00412861620975491,0.240987620102277
1221,1,436,8581,2,155,ORWRI674,19934,Mt. Creek Watershed Restoration Project - Site 3,,2013,2017,,-120.01964612,44.48786461,OR,Wheeler,ORWRI,Middle Mountain Creek,,,50,Maintenance,Upland,Upland vegetation management,,"Upland treated for juniper by clearing, burning, thinning, or removal; Other upland vegetation management",,OWEB,,OWEB,,,,,,lat/long is centroid of county,0.0047778512412151,0.262861179452925
1222,1,436,8582,2,155,ORWRI675,19935,Mt. Creek Watershed Restoration Project - Site 4,,2013,2017,,-120.00935929,44.48261695,OR,Wheeler,ORWRI,Middle Mountain Creek,,,105,Maintenance,Upland,Upland vegetation management,,"Upland treated for juniper by clearing, burning, thinning, or removal; Other upland vegetation management",,ODF,,ODF,,,,,,lat/long is centroid of county,0.0047778512412151,0.262861179452925
1223,1,437,1792,5,418,PADUS1177,,,,2011,,,-122.13484218,48.84761166,WA,,PADUS,Data not available,,,9,Conservation,Easement,GAP Status- 2,,,PVT,Whatcom Land Trust,,,,,,, ,lat/long is centroid of county,0.00517856058513644,0.27558964409582
1224,1,437,1829,5,418,PADUS1214,,,,2011,,,-122.12286878,48.85403838,WA,,PADUS,Data not available,,,186,Conservation,Easement,GAP Status- 2,,,PVT,Whatcom Land Trust,,,,,,, ,lat/long is centroid of county,0.00517856058513644,0.27558964409582
1225,1,437,2021,5,418,PADUS1406,,,,2011,,,-122.13280991,48.88456959,WA,,PADUS,Data not available,,,0,Conservation,Easement,GAP Status- 2,,,PVT,Whatcom Land Trust,,,,,,, ,lat/long is centroid of county,0.00517856058513644,0.27558964409582
1226,1,437,2027,5,418,PADUS1412,,,,2011,,,-122.12353102,48.85817104,WA,,PADUS,Data not available,,,185,Conservation,Easement,GAP Status- 2,,,PVT,Whatcom Land Trust,,,,,,, ,lat/long is centroid of county,0.00517856058513644,0.27558964409582
1227,1,437,2038,5,418,PADUS1423,,,,2011,,,-122.1361851,48.84493842,WA,,PADUS,Data not available,,,38,Conservation,Easement,GAP Status- 2,,,PVT,Whatcom Land Trust,,,,,,, ,lat/long is centroid of county,0.00517856058513644,0.27558964409582
1228,1,438,2315,1,37,PADUS1700,,,,2012,,,-122.23942612,48.58302196,WA,,PADUS,Unknown,,,37,Conservation,Easement,GAP Status- 2,,,PVT,"Skagit County, WA",,,,,,, ,lat/long is centroid of county,0.00515069969242177,0.274723743828066
1229,1,439,2366,1,320,PADUS1751,,,,2012,,,-121.43599725,48.30010792,WA,,PADUS,Unknown,,,320,Conservation,Easement,GAP Status- 2,,,PVT,Skagit Land Trust,,,,,,, ,lat/long is centroid of county,0.00511974028222539,0.2737703523573
1230,1,440,8110,2,28.56,ORWRI321,20668,Wallowa Canyonlands Skeletonweed and Bugloss Control,,2018,2019,,-116.78808125,45.69290129,OR,Wallowa,ORWRI,Thorn Creek-Imnaha River,,,14.28,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,Camp 9 Ranch,,Camp 9 Ranch,,,,,,lat/long is centroid of county,0.00487741925871887,0.266128146590336
1231,1,440,8111,2,28.56,ORWRI322,20668,Wallowa Canyonlands Skeletonweed and Bugloss Control,,2018,2019,,-116.78808125,45.69290129,OR,Wallowa,ORWRI,Thorn Creek-Imnaha River,,,14.28,Maintenance,Riparian,Riparian invasive plant control,,"Riparian treated for non-native or noxious plant species; Upland treated for non-native or noxious plant species",,Camp 9 Ranch,,Camp 9 Ranch,,,,,,lat/long is centroid of county,0.00487741925871887,0.266128146590336
1232,1,441,1759,73,1159,PADUS1144,,,,2015,,,-122.89545111,48.61663527,WA,,PADUS,Data not available,,,4,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1233,1,441,1766,73,1159,PADUS1151,,,,2011,,,-122.91605531,48.57677133,WA,,PADUS,SHAW,,,28,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1234,1,441,1768,73,1159,PADUS1153,,,,2011,,,-122.89265541,48.61790228,WA,,PADUS,ORCAS,,,38,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1235,1,441,1805,73,1159,PADUS1190,,,,2015,,,-122.8824569,48.59366577,WA,,PADUS,Data not available,,,1,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1236,1,441,1841,73,1159,PADUS1226,,,,2011,,,-122.8977276,48.62514244,WA,,PADUS,ORCAS,,,8,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1237,1,441,1843,73,1159,PADUS1228,,,,2011,,,-122.88730488,48.62146689,WA,,PADUS,ORCAS,,,40,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1238,1,441,1844,73,1159,PADUS1229,,,,2011,,,-122.89961779,48.62509798,WA,,PADUS,ORCAS,,,21,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1239,1,441,1847,73,1159,PADUS1232,,,,2011,,,-122.8707595,48.60072002,WA,,PADUS,ORCAS,,,12,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1240,1,441,1862,73,1159,PADUS1247,,,,2011,,,-122.88618864,48.59549598,WA,,PADUS,ORCAS,,,0,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1241,1,441,1865,73,1159,PADUS1250,,,,2011,,,-122.90235366,48.62203752,WA,,PADUS,ORCAS,,,1,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1242,1,441,1866,73,1159,PADUS1251,,,,2011,,,-122.87289539,48.59888372,WA,,PADUS,ORCAS,,,17,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1243,1,441,1868,73,1159,PADUS1253,,,,2011,,,-122.88729904,48.61782855,WA,,PADUS,ORCAS,,,40,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1244,1,441,1870,73,1159,PADUS1255,,,,2011,,,-122.89584958,48.62785534,WA,,PADUS,ORCAS,,,3,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1245,1,441,1871,73,1159,PADUS1256,,,,2011,,,-122.91047056,48.61342998,WA,,PADUS,ORCAS,,,32,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1246,1,441,1874,73,1159,PADUS1259,,,,2011,,,-122.89609321,48.61848572,WA,,PADUS,ORCAS,,,5,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1247,1,441,1876,73,1159,PADUS1261,,,,2011,,,-122.891512,48.62798968,WA,,PADUS,ORCAS,,,35,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1248,1,441,1878,73,1159,PADUS1263,,,,2011,,,-122.91419427,48.61799118,WA,,PADUS,ORCAS,,,32,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1249,1,441,1881,73,1159,PADUS1266,,,,2011,,,-122.92020583,48.57835322,WA,,PADUS,SHAW,,,28,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1250,1,441,1885,73,1159,PADUS1270,,,,2011,,,-122.91941501,48.61130514,WA,,PADUS,ORCAS,,,5,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1251,1,441,1888,73,1159,PADUS1273,,,,2011,,,-122.92142201,48.62185802,WA,,PADUS,ORCAS,,,22,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1252,1,441,1890,73,1159,PADUS1275,,,,2011,,,-122.89139829,48.62512306,WA,,PADUS,ORCAS,,,21,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1253,1,441,1891,73,1159,PADUS1276,,,,2011,,,-122.89566997,48.6160583,WA,,PADUS,ORCAS,,,0,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1254,1,441,1892,73,1159,PADUS1277,,,,2011,,,-122.88052601,48.62513789,WA,,PADUS,ORCAS,,,20,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1255,1,441,1894,73,1159,PADUS1279,,,,2011,,,-122.89414762,48.62511824,WA,,PADUS,ORCAS,,,21,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
1256,1,441,1896,73,1159,PADUS1281,,,,2011,,,-122.91864229,48.57694922,WA,,PADUS,SHAW,,,5,Conservation,Easement,GAP Status- 2,,,PVT,San Juan Preservation Trust,,,,,,, ,lat/long is centroid of county,0.00515077611225934,0.274715990296299
